time,date,run,ahu1_fan_power,ahu1_heat_power,ahu2_heat_power,ch1_power,ahu2_fan_power,dx_c1_power,ch2_power,dx_c2_power,exf1_power,exf2_power,oau_fan_power,oau_heat_power,pump1_power,pump2_power,pump4_power,pump5_power,pump3_power,vav1_heat_power,vav2_heat_power,vav3_heat_power,vav4_heat_power,zs1_heat_power,zs2_heat_power,zs3_heat_power,zs4_heat_power
2023-11-22 11:53:01.007000-05:00,2023-11-22,1,2.006008,1.982431,1.990051,1.001226,2.010135,0.001035612,0.998685546,0.000842390053,1.008976,2.01532,2.002356,0.000858491893,1.005891,1.009736,2.01397,2.013746,1.002837,2.016015,2.01242,2.013928,2.017944,2.019757,2.01794,2.019878,2.014916
2023-11-22 11:53:11.007000-05:00,2023-11-22,1,2.003088,1.982281,1.989851,0.999330556,2.010817,0.000874593734,0.998302215,0.000826288212,1.008912,2.016306,1.99791,0.000955102937,0.988246807,1.008681,2.01367,2.014529,1.007054,2.015771,2.003783,2.015047,2.017709,2.019792,2.018482,2.01963,2.015533
2023-11-22 11:53:21.007000-05:00,2023-11-22,1,2.004286,1.98228,1.989862,1.00266,2.010836,0.000906797415,0.99474043,0.000826288212,1.009376,2.016096,1.999166,0.000939001097,1.007265,1.008649,2.013703,2.014613,1.01084,2.015727,2.003327,2.015072,2.017696,2.020036,2.018475,2.019679,2.015525
2023-11-22 11:53:31.007000-05:00,2023-11-22,1,2.004499,1.982428,1.989995,1.002692,2.01033,0.000906797415,1.000155,0.000971204778,1.01027,2.015754,1.998361,0.000939001097,1.008911,1.001827,2.013857,2.013774,1.010185,2.015906,2.009087,2.014272,2.017865,2.019921,2.01806,2.019832,2.015098
2023-11-22 11:53:41.007000-05:00,2023-11-22,1,2.005125,1.981479,1.989162,1.000812,2.011465,0.000939001097,1.000922,0.000906797415,1.011405,2.015788,2.001454,0.000858491893,1.0088,0.98091394,2.01297,2.011047,1.009435,2.014761,2.009863,2.015694,2.00642,2.009225,2.017053,2.018846,2.016845
2023-11-22 11:53:51.007000-05:00,2023-11-22,1,2.013871,1.98251,1.990105,1.000398,2.008889,0.000826288212,1.000347,0.000810186372,1.010766,2.01387,2.00213,0.000922899256,1.010126,1.011749,2.013852,2.012655,1.007565,2.015908,2.016692,2.012397,2.017854,2.018742,2.016924,2.019866,2.013769
2023-11-22 11:54:01.007000-05:00,2023-11-22,1,2.011909,1.982463,1.990042,1.000239,2.005849,0.000955102937,0.999835539,0.000955102937,1.01075,2.00961,2.001583,0.000826288212,1.007649,1.011237,2.014007,2.009767,1.007214,2.013034,2.016602,2.007683,2.016037,2.015963,2.014424,2.019488,2.011649
2023-11-22 11:54:11.007000-05:00,2023-11-22,1,2.012473,1.982497,1.990058,1.001083,2.006119,0.000858491893,1.000123,0.000874593734,1.009104,2.009926,1.996814,0.000939001097,1.012236,1.0094,2.014042,2.010012,1.01346,2.013625,2.016647,2.008079,2.016405,2.016168,2.014623,2.019657,2.011924
2023-11-22 11:54:21.007000-05:00,2023-11-22,1,2.006789,1.981382,1.989055,1.0036,2.007449,0.000890695575,0.999068877,0.000890695575,1.010143,2.015671,1.998071,0.000826288212,1.008784,1.008601,2.012877,2.007583,1.01084,2.009032,2.011472,2.01564,2.004592,2.009641,2.013747,2.018755,2.017674
2023-11-22 11:54:31.007000-05:00,2023-11-22,1,2.00259,1.981528,1.989138,1.002978,2.006698,0.000874593734,0.999020961,0.000890695575,1.00952,2.015755,2.002098,0.000826288212,1.009934,1.01119,2.012956,2.008378,1.007342,2.008198,2.011765,2.015704,2.006713,2.009905,2.013719,2.018845,2.017687
